,date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
296,2021-12-21,14:26,2:26 PM,,,,,,0,0.0,0,A
297,2021-12-21,14:27,2:27 PM,153.31,153.31,153.31,153.31,153.31,61,9351.91,2,A
298,2021-12-21,14:28,2:28 PM,153.37,153.3,153.36,153.3,153.356,20,3067.11,6,A
299,2021-12-21,14:29,2:29 PM,153.32,153.32,153.32,153.32,153.32,7,1073.24,1,A
300,2021-12-21,14:30,2:30 PM,153.44,153.365,153.365,153.44,153.436,105,16110.825,3,A
301,2021-12-21,14:31,2:31 PM,153.425,153.425,153.425,153.425,153.425,2,306.85,1,A
302,2021-12-21,14:32,2:32 PM,153.55,153.48,153.48,153.55,153.534,17,2610.08,3,A
303,2021-12-21,14:33,2:33 PM,153.55,153.55,153.55,153.55,153.55,3,460.65,2,A
304,2021-12-21,14:34,2:34 PM,153.67,153.64,153.64,153.67,153.664,55,8451.51,4,A
305,2021-12-21,14:35,2:35 PM,153.8,153.785,153.785,153.8,153.8,102,15687.57,2,A
306,2021-12-21,14:36,2:36 PM,153.81,153.76,153.8,153.76,153.804,102,15688.02,3,A
307,2021-12-21,14:37,2:37 PM,153.79,153.745,153.745,153.79,153.78,66,10149.465,2,A
308,2021-12-21,14:38,2:38 PM,153.745,153.67,153.745,153.67,153.695,519,79767.595,8,A
309,2021-12-21,14:39,2:39 PM,153.71,153.67,153.67,153.71,153.696,308,47338.44,4,A
310,2021-12-21,14:40,2:40 PM,153.71,153.67,153.67,153.71,153.709,97,14909.76,3,A
311,2021-12-21,14:41,2:41 PM,153.72,153.67,153.68,153.67,153.688,303,46567.555,6,A
312,2021-12-21,14:42,2:42 PM,153.6,153.52,153.6,153.6,153.579,625,95987.045,10,A
313,2021-12-21,14:43,2:43 PM,,,,,,0,0.0,0,A
314,2021-12-21,14:44,2:44 PM,153.65,153.57,153.65,153.57,153.623,419,64368.23,6,A
315,2021-12-21,14:45,2:45 PM,153.28,153.21,153.21,153.28,153.279,102,15634.42,6,A
316,2021-12-21,14:46,2:46 PM,153.3,153.3,153.3,153.3,153.3,200,30660.0,2,A
317,2021-12-21,14:47,2:47 PM,153.305,153.135,153.135,153.305,153.203,946,144930.385,9,A
318,2021-12-21,14:48,2:48 PM,153.4,153.28,153.37,153.34,153.37,1360,208583.23,10,A
319,2021-12-21,14:49,2:49 PM,153.27,153.21,153.27,153.26,153.261,414,63450.06,4,A
320,2021-12-21,14:50,2:50 PM,153.4,153.26,153.26,153.4,153.294,503,77107.08,6,A
321,2021-12-21,14:51,2:51 PM,153.57,153.49,153.53,153.49,153.494,112,17191.39,6,A
322,2021-12-21,14:52,2:52 PM,153.585,153.585,153.585,153.585,153.585,2,307.17,1,A
323,2021-12-21,14:53,2:53 PM,153.645,153.645,153.645,153.645,153.645,4,614.58,2,A
324,2021-12-21,14:54,2:54 PM,153.68,153.67,153.68,153.67,153.671,108,16596.42,3,A
325,2021-12-21,14:55,2:55 PM,153.74,153.74,153.74,153.74,153.74,3,461.22,2,A
326,2021-12-21,14:56,2:56 PM,154.0,153.755,153.755,154.0,153.993,210,32338.43,4,A
327,2021-12-21,14:57,2:57 PM,153.82,153.82,153.82,153.82,153.82,2,307.64,1,A
328,2021-12-21,14:58,2:58 PM,153.91,153.83,153.83,153.91,153.907,106,16314.1,3,A
329,2021-12-21,14:59,2:59 PM,153.85,153.8,153.85,153.8,153.85,403,62001.43,4,A
330,2021-12-21,15:00,3 PM,153.88,153.77,153.77,153.78,153.807,468,71981.9,10,A
331,2021-12-21,15:01,3:01 PM,,,,,,0,0.0,0,A
332,2021-12-21,15:02,3:02 PM,153.87,153.84,153.86,153.84,153.87,168,25850.11,6,A
333,2021-12-21,15:03,3:03 PM,,,,,,0,0.0,0,A
334,2021-12-21,15:04,3:04 PM,153.73,153.72,153.72,153.73,153.73,100,15372.99,2,A
